chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
1053,421,867,1822,L
1105,421,927,1621,L
997,411,783,1716,M
1103,414,862,1644,L
1098,423,960,1682,L
1031,418,803,1784,M
1067,414,750,1640,L
1033,412,803,1795,M
1111,417,840,1710,L
1208,455,1108,1782,2XL
1010,402,801,1745,M
1135,424,979,1803,XL
1177,423,977,1729,XL
1016,415,818,1836,M
1019,407,878,1784,M
957,394,734,1743,S
1121,427,902,1688,XL
1060,416,882,1751,L
1102,421,857,1808,L
1033,398,862,1818,M
1099,420,930,1722,L
1176,431,982,1729,XL
1062,425,829,1740,L
1036,402,771,1674,M
1100,412,903,1742,L
1092,420,880,1777,L
1158,441,1043,1780,XL
939,406,633,1600,S
1050,417,797,1781,M
1257,456,1247,1808,3XL
1010,419,759,1777,M
1047,416,900,1787,M
1048,412,825,1825,M
1106,430,932,1798,L
951,400,699,1770,S
964,382,723,1733,S
1120,421,974,1787,L
997,413,684,1613,M
1108,423,961,1779,L
1086,424,938,1734,L
942,394,601,1618,S
1213,439,1026,1745,2XL
1168,427,941,1718,XL
975,400,756,1772,S
1161,445,1095,1797,XL
930,389,669,1699,S
1061,408,817,1707,M
1015,406,691,1708,M
1004,404,836,1787,M
944,384,678,1750,S
1083,433,950,1742,L
1064,416,824,1771,L
1052,425,899,1723,L
1070,429,822,1694,L
1013,414,786,1733,M
1088,428,766,1677,L
968,403,667,1758,S
1009,417,778,1761,M
1147,434,882,1774,XL
1037,400,846,1714,M
1192,443,1014,1754,2XL
1111,416,854,1727,L
1153,429,990,1756,XL
1093,410,822,1756,L
1063,421,876,1774,L
1084,428,788,1711,L
1010,418,697,1635,M
1069,416,806,1706,L
1056,406,861,1771,M
1133,431,949,1831,XL
1114,443,971,1826,XL
1105,412,897,1795,L
1028,402,780,1782,M
1097,410,872,1745,L
990,379,717,1785,S
1025,403,732,1661,M
1191,454,1075,1784,2XL
1054,414,813,1773,L
1080,410,846,1725,L
1089,426,844,1699,L
983,403,747,1773,S
1092,423,784,1734,L
1099,423,1014,1804,L
991,415,796,1765,M
1058,418,858,1871,L
988,395,800,1750,S
1113,442,1054,1904,XL
1122,424,903,1727,XL
1086,426,925,1788,L
1157,446,1083,1794,XL
1137,427,1074,1806,XL
1048,419,933,1783,M
1161,429,1107,1843,XL
1153,437,959,1729,XL
1037,411,900,1828,M
1064,418,809,1715,L
1093,417,872,1783,L
1063,416,954,1761,L
1129,427,958,1722,XL
1207,450,1024,1780,2XL
1073,421,846,1768,L
1150,427,1003,1791,XL
1048,400,871,1800,M
1090,423,809,1747,L
1196,443,1171,1905,2XL
1078,426,882,1671,L
1012,399,749,1669,M
956,401,710,1801,S
1059,411,844,1707,L
1117,425,904,1717,XL
1059,426,909,1780,L
1130,433,939,1716,XL
1193,452,1097,1778,2XL
977,403,669,1704,S
1072,427,856,1783,L
1027,406,818,1794,M
1163,428,1046,1831,XL
1045,415,905,1867,M
1056,411,856,1794,L
1126,430,1036,1821,XL
1094,411,873,1779,L
1118,443,926,1802,XL
1026,418,846,1783,M
1060,408,878,1853,M
1099,411,816,1709,L
1054,411,895,1855,L
1070,418,882,1765,L
1101,410,890,1764,L
1015,413,795,1760,M
1033,407,734,1734,M
1113,429,959,1758,XL
1038,404,791,1740,M
1125,432,851,1739,XL
1028,398,802,1774,M
1043,398,828,1728,M
1022,415,779,1710,M
1178,441,1055,1791,2XL
1076,421,898,1794,L
1114,425,937,1853,XL
1143,441,887,1712,XL
1057,426,797,1777,L
1186,442,1064,1717,2XL
999,394,810,1782,S
1027,404,808,1782,M
1007,401,725,1750,M
1003,420,766,1793,M
1027,400,766,1706,M
1143,442,1047,1794,XL
1052,413,797,1700,L
1094,417,874,1659,L
1021,416,767,1755,M
1087,414,845,1677,L
1166,436,987,1767,XL
1047,402,857,1751,M
1148,426,1045,1769,XL
1051,405,893,1736,M
1132,425,1032,1873,XL
1163,445,890,1717,XL
1243,452,1056,1706,3XL
1074,418,843,1761,L
993,404,746,1660,M
940,391,597,1665,S
1024,420,826,1773,M
1151,428,907,1735,XL
1017,413,685,1693,M
1042,418,829,1775,M
1023,403,775,1766,M
872,365,597,1682,XS
1168,426,1016,1737,XL
1213,441,1119,1863,2XL
1035,406,828,1836,M
1037,412,851,1730,M
1099,430,1047,1950,L
1038,401,781,1637,M
1066,414,984,1796,L
1048,403,761,1692,M
1003,407,764,1624,M
1142,442,868,1686,XL
1046,417,801,1744,M
1067,411,861,1713,L
964,392,630,1711,S
1214,438,1156,1817,2XL
1168,431,1053,1847,XL
928,397,678,1724,S
976,388,703,1717,S
1072,417,895,1833,L
1008,410,758,1741,M
1072,426,906,1824,L
937,401,720,1766,S
1106,423,1048,1821,L
1052,413,866,1832,L
1047,399,849,1844,M
1106,419,823,1790,L
1045,411,788,1734,M
993,406,649,1665,M
