chestcircumference,biacromialbreadth,weightkg,stature,t-shirt size
976,375,808,1718,L
1003,386,834,1626,XL
947,372,659,1670,L
941,361,712,1621,L
900,366,689,1639,M
874,355,630,1720,S
1214,419,1069,1783,3XL
893,362,639,1641,M
940,378,630,1640,L
1033,376,874,1647,XL
995,384,752,1630,XL
1110,388,821,1644,2XL
982,363,663,1603,L
897,355,638,1713,M
838,350,589,1573,S
996,381,761,1619,XL
882,351,541,1605,S
895,358,616,1601,M
1053,383,852,1703,XL
1036,380,742,1596,XL
964,370,690,1599,L
935,374,675,1632,L
924,361,652,1568,M
1032,383,826,1639,XL
923,357,556,1591,M
934,354,719,1628,M
901,356,578,1566,M
1023,387,713,1573,XL
976,382,655,1607,L
887,365,585,1614,M
900,362,589,1630,M
985,368,649,1669,L
884,343,616,1592,S
890,361,652,1610,M
1041,376,802,1751,XL
949,378,647,1688,L
845,331,548,1517,S
902,368,651,1718,M
1051,386,719,1592,XL
1003,390,726,1636,XL
965,366,604,1655,L
830,332,582,1608,S
844,356,590,1623,S
954,365,666,1543,L
925,361,670,1744,M
899,363,582,1655,M
900,365,609,1636,M
776,318,504,1594,XS
1005,373,760,1700,XL
953,372,665,1658,L
935,348,735,1688,M
852,339,563,1520,S
992,372,801,1640,L
970,374,772,1672,L
936,378,704,1662,L
882,352,590,1601,S
822,348,546,1536,S
957,378,725,1646,L
896,370,631,1648,M
804,334,537,1586,XS
944,358,607,1562,M
875,346,577,1507,S
881,345,499,1468,S
926,367,687,1636,M
919,361,632,1607,M
989,360,776,1657,L
944,370,771,1666,L
841,344,462,1498,S
863,346,591,1619,S
870,342,574,1559,S
824,351,518,1530,S
929,365,653,1572,M
950,377,661,1636,L
892,358,598,1575,M
852,353,533,1676,S
1071,398,755,1705,2XL
987,379,702,1603,L
956,369,750,1648,L
1002,391,716,1563,XL
966,376,723,1663,L
1030,386,765,1617,XL
914,366,600,1636,M
933,370,695,1628,M
917,348,637,1536,M
1022,375,815,1678,XL
956,370,773,1682,L
850,355,537,1585,S
912,350,672,1588,M
886,365,654,1607,M
824,347,669,1677,S
945,364,668,1615,L
907,368,672,1570,M
887,353,597,1563,M
929,359,658,1627,M
917,364,681,1635,M
854,345,560,1544,S
908,361,613,1493,M
889,356,586,1611,M
851,337,616,1588,S
811,337,533,1543,XS
935,361,658,1560,L
942,366,777,1690,L
1037,376,806,1678,XL
836,330,522,1608,S
1040,376,845,1683,XL
985,383,685,1586,L
932,349,646,1646,M
908,367,679,1656,M
820,343,509,1515,S
826,335,505,1502,S
1001,371,756,1633,L
956,364,634,1585,L
1019,376,804,1616,XL
971,368,762,1670,L
890,354,526,1632,M
920,360,557,1606,M
1003,370,759,1625,L
988,362,697,1674,L
912,367,614,1563,M
1027,393,742,1728,XL
995,365,671,1590,L
972,375,803,1655,L
891,366,681,1676,M
998,367,734,1633,L
983,376,672,1607,L
923,351,493,1570,M
988,364,733,1642,L
936,366,729,1675,L
920,367,631,1607,M
904,351,666,1686,M
865,355,667,1640,S
864,343,497,1563,S
848,351,558,1591,S
937,366,695,1670,L
860,357,603,1616,S
945,352,642,1510,M
1076,392,843,1679,2XL
863,350,470,1629,S
983,366,717,1654,L
845,350,532,1546,S
990,375,747,1676,L
924,357,622,1585,M
899,357,574,1594,M
972,365,646,1581,L
855,333,529,1614,S
947,366,648,1559,L
967,377,751,1697,L
1026,387,740,1674,XL
1018,378,758,1692,XL
849,344,554,1615,S
874,343,503,1531,S
821,351,601,1598,S
922,352,616,1611,M
848,350,589,1569,S
962,366,706,1666,L
931,353,628,1571,M
795,340,503,1618,XS
910,352,599,1610,M
1050,387,831,1729,XL
964,363,622,1593,L
973,369,706,1609,L
917,367,667,1648,M
953,368,730,1631,L
1032,392,842,1712,XL
799,336,549,1541,XS
990,369,670,1614,L
999,383,771,1658,XL
935,366,668,1642,L
1045,377,757,1648,XL
990,372,857,1756,L
922,356,678,1651,M
893,361,630,1634,M
925,363,646,1565,M
805,329,444,1537,XS
941,357,696,1649,M
904,355,707,1558,M
937,375,643,1688,L
1031,394,853,1752,XL
1053,404,837,1710,2XL
945,362,621,1614,L
915,359,614,1617,M
853,353,544,1596,S
875,333,603,1602,S
1021,373,792,1694,XL
995,361,603,1534,L
1127,399,885,1634,3XL
1038,379,842,1679,XL
908,353,634,1658,M
870,336,561,1643,S
877,349,505,1518,S
1035,388,835,1659,XL
807,325,463,1570,XS
1145,397,1019,1702,3XL
915,349,645,1627,M
837,331,528,1594,S
913,354,623,1617,M
860,335,527,1579,S
1045,374,721,1608,XL
932,350,589,1656,M
854,355,620,1630,S
893,346,543,1545,S
867,340,648,1688,S
866,353,643,1647,S
957,381,736,1637,L
946,366,647,1576,L
937,383,746,1743,L
965,362,705,1649,L
1045,390,868,1674,XL
935,383,673,1561,L
802,340,516,1587,XS
1005,379,757,1685,XL
1048,375,717,1569,XL
915,360,738,1656,M
920,360,769,1672,M
1045,377,740,1666,XL
847,340,626,1630,S
968,373,808,1789,L
902,370,631,1598,M
1001,374,638,1568,XL
954,374,698,1676,L
826,351,489,1567,S
931,365,650,1617,M
913,365,679,1660,M
920,365,618,1596,M
951,372,712,1649,L
921,360,643,1590,M
935,371,793,1630,L
979,365,686,1590,L
1053,392,765,1687,2XL
887,361,590,1613,M
964,370,626,1648,L
978,361,688,1719,L
981,377,707,1662,L
945,355,685,1612,M
836,355,571,1605,S
943,363,672,1662,L
924,362,692,1620,M
861,358,644,1596,S
908,359,683,1702,M
852,352,582,1745,S
861,352,532,1599,S
985,381,703,1628,L
886,339,569,1592,S
918,353,648,1627,M
949,380,652,1617,L
830,353,548,1582,S
900,351,577,1640,M
934,358,790,1675,M
996,364,671,1592,L
943,365,620,1566,L
885,332,626,1580,S
873,358,587,1557,S
930,350,647,1597,M
883,337,621,1598,S
956,368,698,1613,L
835,348,656,1649,S
892,350,621,1596,M
821,283,467,1442,XS
978,380,639,1555,L
911,359,698,1690,M
981,362,654,1634,L
862,355,593,1582,S
825,321,480,1475,XS
951,375,557,1633,L
945,352,661,1626,M
1057,387,794,1533,2XL
887,361,530,1634,M
877,333,524,1534,S
893,360,559,1628,M
880,335,578,1547,S
1033,384,849,1754,XL
895,364,607,1623,M
919,362,623,1614,M
825,346,516,1560,S
904,366,566,1536,M
908,355,576,1595,M
1005,383,807,1659,XL
978,370,711,1678,L
889,347,623,1589,S
880,343,578,1550,S
1026,383,755,1713,XL
1062,383,888,1711,XL
921,367,665,1641,M
1029,373,665,1672,XL
983,365,673,1585,L
1004,374,735,1656,XL
873,356,578,1522,S
970,365,693,1535,L
903,366,500,1591,M
916,350,567,1567,M
942,361,683,1637,L
882,345,591,1563,S
966,375,664,1672,L
968,373,710,1600,L
883,354,593,1566,S
910,354,658,1613,M
940,358,634,1572,M
869,350,480,1584,S
1042,383,793,1641,XL
984,365,649,1592,L
1081,389,875,1710,2XL
1012,388,768,1684,XL
1018,380,763,1625,XL
935,383,650,1666,L
896,355,555,1576,M
888,349,548,1597,M
879,356,650,1649,S
976,364,772,1537,L
888,360,537,1582,M
1010,393,833,1771,XL
967,368,599,1545,L
941,354,643,1561,M
880,357,613,1642,S
1027,377,847,1600,XL
953,372,687,1591,L
997,384,697,1697,XL
956,367,631,1563,L
795,324,513,1631,XS
937,368,694,1648,L
826,349,509,1496,S
878,332,520,1522,S
976,380,678,1618,L
940,378,657,1653,L
973,378,797,1614,L
1021,393,682,1673,XL
840,355,489,1588,S
888,362,617,1490,M
955,373,706,1611,L
909,367,611,1599,M
1001,382,662,1645,XL
933,366,616,1657,M
974,361,737,1641,L
1080,404,920,1681,2XL
1113,389,802,1585,2XL
1078,393,831,1678,2XL
886,355,599,1646,M
962,376,725,1676,L
910,362,624,1625,M
846,354,623,1641,S
899,367,630,1633,M
1032,392,820,1667,XL
1098,393,910,1736,2XL
965,365,801,1671,L
879,350,601,1574,S
884,340,568,1632,S
1015,390,720,1654,XL
881,345,652,1589,S
826,353,560,1611,S
1047,394,825,1692,XL
1071,398,995,1647,2XL
951,371,698,1760,L
1026,384,766,1683,XL
900,366,651,1618,M
800,334,518,1565,XS
868,349,549,1592,S
914,354,583,1538,M
883,352,670,1648,S
936,359,631,1645,M
941,370,676,1611,L
872,353,534,1602,S
1008,383,748,1670,XL
915,352,644,1643,M
979,362,677,1628,L
904,365,620,1575,M
868,358,599,1598,S
898,369,644,1610,M
822,333,536,1597,S
936,383,662,1502,L
881,341,586,1625,S
886,342,526,1525,S
894,337,564,1563,S
893,355,629,1661,M
999,366,781,1661,L
938,366,663,1634,L
926,358,610,1542,M
987,382,817,1743,L
857,353,557,1561,S
841,357,526,1620,S
857,353,614,1660,S
1066,398,893,1699,2XL
780,330,442,1483,XS
907,356,642,1579,M
940,363,737,1659,L
972,377,776,1684,L
953,368,646,1589,L
945,380,697,1683,L
953,381,724,1704,L
1022,379,697,1736,XL
1013,386,884,1724,XL
930,352,551,1604,M
